7759820,1072,2594,2768
7783215,1256,2526,2892
7806610,1132,2396,2940
7830020,1132,2202,2928
7853420,1278,2132,3064
7876810,1270,2084,3148
7900220,1276,2130,3228
7923615,1288,2030,3300
7947015,1356,2034,3392
7970415,1340,2080,3340
7993820,1344,2008,3308
8017220,1376,2052,3264
8040615,1358,1924,3332
8064020,1388,1892,3260
8087415,1314,1942,3248
8110815,1418,1732,3260
8134215,1332,1876,3356
8157615,1332,1786,3400
8181010,1310,1752,3360
8204415,1324,1690,3452
8227810,1354,1652,3512
8251225,1496,1852,3636
8274610,1444,1816,3636
8298010,1488,1626,3448
8321420,1462,1584,3340
8344810,1472,1408,3416
8368210,1452,1218,3460
8391610,1576,1160,3644
8415020,992,1756,3560
8437440,1624,1160,3152
8460845,1466,1132,3216
8484240,1244,1302,3172
8507635,1436,1558,3062
8531040,1362,1482,3340
8554445,1152,1154,3514
8577850,1168,1484,3486
8601240,1152,1904,3794
8624650,1122,1668,3868
8648035,1064,1424,3840
8671440,1088,1806,3972
8694840,1146,2186,4464
8718245,1256,2450,4448
8741635,1300,2210,4440
8765040,1218,2388,4348
8788435,1204,2434,3624
8811845,1170,2300,3212
8835240,1180,2088,3300
8858640,1094,1882,3480
8882050,1038,1900,3504
8905440,912,1950,3212
8927865,764,1988,3128
8950290,836,2144,2896
8972715,884,1886,2932
8995150,920,1884,3500
9017565,754,1972,3562
9039990,766,1744,3256
9062420,794,1828,2976
9084840,954,1760,2976
9107270,958,1760,3016
9129690,994,1526,3176
9152120,1012,1806,3344
9175510,1092,1874,3404
9198915,1086,1904,3534
9222310,1082,1682,3530
9245720,1082,1448,3552
9269115,1124,1440,3828
9292510,958,1492,3808
9314940,614,1088,3532
9337365,614,814,3316
9358815,510,562,2996
9380260,482,208,2852
9401725,470,766,3580
9423165,642,666,3236
9444610,1056,608,3236
9467045,1622,252,3552
9489460,1680,46,4310
9510910,1834,90,4272
9532365,1984,216,4354
9554785,2084,-116,4600
9578185,2214,-642,4238
9601595,2196,-444,3612
9624990,2408,-536,3440
9648390,2672,-384,3696
9671800,2900,-408,3612
9695190,3154,-1080,3556
9719565,3348,-1554,3804
9743945,3866,-1584,4312
9768315,3838,-2274,5444
9792685,3634,-2378,5536
9817060,3092,-2278,5004
9841445,2312,-1660,4044
9865815,2130,-1332,3172
9890190,1740,-1436,2996
9914565,1488,-1224,2640
9938940,1366,-1032,2212
9963320,1116,-788,1876
9986725,1094,-928,1940
10010110,1052,-1078,2244
10035470,836,-864,2030
10058865,798,-912,1524
10082270,676,-658,1352
10105675,772,-936,1236
10129065,792,-1348,1448
10153440,1108,-1676,1764
10178795,1440,-2332,2376
10204135,1938,-2858,2526
10229485,2732,-3120,2204
10254840,3250,-2988,2092
10280190,3556,-2572,2096
10305545,3716,-2248,2684
10330895,3652,-2088,2820
10356240,3376,-2076,2556
10381590,3342,-2428,2084
10406940,3404,-2284,2196
